adc r0,r0|4041
adc r0,r1|4841
adc r0,r2|5041
adc r0,r3|5841
adc r0,r4|6041
adc r0,r5|6841
adc r0,r6|7041
adc r0,r7|7841
adc r1,r0|4141
adc r1,r1|4941
adc r1,r2|5141
adc r1,r3|5941
adc r1,r4|6141
adc r1,r5|6941
adc r1,r6|7141
adc r1,r7|7941
adc r2,r0|4241
adc r2,r1|4a41
adc r2,r2|5241
adc r2,r3|5a41
adc r2,r4|6241
adc r2,r5|6a41
adc r2,r6|7241
adc r2,r7|7a41
adc r3,r0|4341
adc r3,r1|4b41
adc r3,r2|5341
adc r3,r3|5b41
adc r3,r4|6341
adc r3,r5|6b41
adc r3,r6|7341
adc r3,r7|7b41
adc r4,r0|4441
adc r4,r1|4c41
adc r4,r2|5441
adc r4,r3|5c41
adc r4,r4|6441
adc r4,r5|6c41
adc r4,r6|7441
adc r4,r7|7c41
adc r5,r0|4541
adc r5,r1|4d41
adc r5,r2|5541
adc r5,r3|5d41
adc r5,r4|6541
adc r5,r5|6d41
adc r5,r6|7541
adc r5,r7|7d41
adc r6,r0|4641
adc r6,r1|4e41
adc r6,r2|5641
adc r6,r3|5e41
adc r6,r4|6641
adc r6,r5|6e41
adc r6,r6|7641
adc r6,r7|7e41
adc r7,r0|4741
adc r7,r1|4f41
adc r7,r2|5741
adc r7,r3|5f41
adc r7,r4|6741
adc r7,r5|6f41
adc r7,r6|7741
adc r7,r7|7f41
cmp r0,#0|0028
cmp r0,r0|8042
cmp r0,r1|8842
cmp r0,r2|9042
cmp r0,r3|9842
cmp r0,r4|a042
cmp r0,r5|a842
cmp r0,r6|b042
cmp r0,r7|b842
cmp r0,r8|4045
cmp r1,#0|0029
cmp r1,r0|8142
cmp r1,r1|8942
cmp r1,r2|9142
cmp r1,r3|9942
cmp r1,r4|a142
cmp r1,r5|a942
cmp r1,r6|b142
cmp r1,r7|b942
cmp r1,r8|4145
cmp r2,#0|002a
cmp r2,r0|8242
cmp r2,r1|8a42
cmp r2,r2|9242
cmp r2,r3|9a42
cmp r2,r4|a242
cmp r2,r5|aa42
cmp r2,r6|b242
cmp r2,r7|ba42
cmp r2,r8|4245
cmp r3,#0|002b
cmp r3,r0|8342
cmp r3,r1|8b42
cmp r3,r2|9342
cmp r3,r3|9b42
cmp r3,r4|a342
cmp r3,r5|ab42
cmp r3,r6|b342
cmp r3,r7|bb42
cmp r3,r8|4345
cmp r4,#0|002c
cmp r4,r0|8442
cmp r4,r1|8c42
cmp r4,r2|9442
cmp r4,r3|9c42
cmp r4,r4|a442
cmp r4,r5|ac42
cmp r4,r6|b442
cmp r4,r7|bc42
cmp r4,r8|4445
cmp r5,#0|002d
cmp r5,r0|8542
cmp r5,r1|8d42
